level_0,index,competition_name,competition_link,competition_tabindex,discipline_link,Event number,Event,Category,Minimum,Start Time,Total Entries,Total Participants,results_link,competition_link_check,results_link_check,TotalParticipantsInt,Date,Year,Time,Status
196,196,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,801,4X100m Medley Relay,Men 14-99,00:00.00,23/12/2023 12:08:00,4,4,/LeagueTable/AthleticsDisciplineResults/43393?isModal=True,1,1,4,2023-12-23 00:00:00,2023,12:08:00,Passed
197,197,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,802,4X100m Medley Relay,Women 14-99,00:00.00,23/12/2023 12:14:00,4,4,/LeagueTable/AthleticsDisciplineResults/43394?isModal=True,1,1,4,2023-12-23 00:00:00,2023,12:14:00,Passed
198,198,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,803,4X100m Freestyle Relay,Men 14-99,00:00.00,23/12/2023 14:00:00,4,4,/LeagueTable/AthleticsDisciplineResults/43395?isModal=True,1,1,4,2023-12-23 00:00:00,2023,14:00:00,Passed
199,199,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,804,4X50m Freestyle Relay,Men 14-99,00:00.00,23/12/2023 14:05:00,4,4,/LeagueTable/AthleticsDisciplineResults/43396?isModal=True,1,1,4,2023-12-23 00:00:00,2023,14:05:00,Passed
200,200,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,805,4X50m Freestyle Relay,Mix 14-99,00:00.00,23/12/2023 14:05:00,4,4,/LeagueTable/AthleticsDisciplineResults/43398?isModal=True,1,1,4,2023-12-23 00:00:00,2023,14:05:00,Passed
201,201,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,806,4X50m Medley Relay,Men 14-99,00:00.00,23/12/2023 16:50:00,5,4,/LeagueTable/AthleticsDisciplineResults/43397?isModal=True,1,1,4,2023-12-23 00:00:00,2023,16:50:00,Passed
202,202,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,807,100m Individual Medley,Men 14-99,00:00.00,23/12/2023 16:53:00,1,1,/LeagueTable/AthleticsDisciplineResults/43399?isModal=True,1,1,1,2023-12-23 00:00:00,2023,16:53:00,Passed
203,203,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,1,800m Freestyle,Girls 13,00:00.00,12/01/2024 08:45:00,4,4,/LeagueTable/AthleticsDisciplineResults/44056?isModal=True,1,1,4,2024-01-12 00:00:00,2024,08:45:00,Passed
204,204,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,2,800m Freestyle,Boys 14,00:00.00,12/01/2024 08:57:00,9,9,/LeagueTable/AthleticsDisciplineResults/44057?isModal=True,1,1,9,2024-01-12 00:00:00,2024,08:57:00,Passed
205,205,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,3,200m Individual Medley,Girls 10-13,00:00.00,12/01/2024 09:21:00,14,14,/LeagueTable/AthleticsDisciplineResults/44058?isModal=True,1,1,14,2024-01-12 00:00:00,2024,09:21:00,Passed
206,206,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,4,200m Individual Medley,Boys 10-14,00:00.00,12/01/2024 09:30:00,42,42,/LeagueTable/AthleticsDisciplineResults/44059?isModal=True,1,1,42,2024-01-12 00:00:00,2024,09:30:00,Passed
207,207,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,5,50m Freestyle,Girls 10-13,00:00.00,12/01/2024 09:57:00,40,40,/LeagueTable/AthleticsDisciplineResults/44060?isModal=True,1,1,40,2024-01-12 00:00:00,2024,09:57:00,Passed
208,208,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,6,50m Freestyle,boys10-14,00:00.00,12/01/2024 10:09:00,79,79,/LeagueTable/AthleticsDisciplineResults/44061?isModal=True,1,1,79,2024-01-12 00:00:00,2024,10:09:00,Passed
209,209,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,7,50m Butterfly,Girls 10-11,00:00.00,12/01/2024 10:33:00,10,10,/LeagueTable/AthleticsDisciplineResults/44062?isModal=True,1,1,10,2024-01-12 00:00:00,2024,10:33:00,Passed
210,210,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,8,50m Butterfly,Boys 10-11,00:00.00,12/01/2024 10:37:00,11,11,/LeagueTable/AthleticsDisciplineResults/44063?isModal=True,1,1,11,2024-01-12 00:00:00,2024,10:37:00,Passed
211,211,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,9,200m Breaststroke,Girls 10-13,00:00.00,12/01/2024 10:41:00,12,12,/LeagueTable/AthleticsDisciplineResults/44064?isModal=True,1,1,12,2024-01-12 00:00:00,2024,10:41:00,Passed
212,212,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,10,200m Breaststroke,Boys 10-14,00:00.00,12/01/2024 10:50:00,25,25,/LeagueTable/AthleticsDisciplineResults/44065?isModal=True,1,1,25,2024-01-12 00:00:00,2024,10:50:00,Passed
213,213,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,11,200m Butterfly,Girls 12-13,00:00.00,12/01/2024 11:08:00,3,3,/LeagueTable/AthleticsDisciplineResults/44066?isModal=True,1,1,3,2024-01-12 00:00:00,2024,11:08:00,Passed
214,214,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,12,200m Butterfly,,00:00.00,12/01/2024 11:12:00,16,16,/LeagueTable/AthleticsDisciplineResults/44067?isModal=True,1,1,16,2024-01-12 00:00:00,2024,11:12:00,Passed
215,215,"אליפות ישראל ל-5 ק""מ בבריכה",comp.asp?compID=486,38,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9789,1,5K Freestyle,Women 14-99,0:00:00.00,12/01/2024 14:30:00,23,23,/LeagueTable/AthleticsDisciplineResults/42807?isModal=True,1,1,23,2024-01-12 00:00:00,2024,14:30:00,Passed
216,216,"אליפות ישראל ל-5 ק""מ בבריכה",comp.asp?compID=486,38,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9789,2,5K Freestyle,Men 14-99,0:00:00.00,12/01/2024 14:33:00,33,31,/LeagueTable/AthleticsDisciplineResults/42806?isModal=True,1,1,31,2024-01-12 00:00:00,2024,14:33:00,Passed
217,217,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9961,1,200m Individual Medley,Women 14-99,00:00.00,19/01/2024 10:00:00,86,86,/LeagueTable/AthleticsDisciplineResults/44099?isModal=True,1,1,86,2024-01-19 00:00:00,2024,10:00:00,Passed
218,218,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9961,2,200m Individual Medley,Men 15-99,00:00.00,19/01/2024 10:36:00,103,103,/LeagueTable/AthleticsDisciplineResults/44094?isModal=True,1,1,103,2024-01-19 00:00:00,2024,10:36:00,Passed
219,219,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9961,3,100m Backstroke,Women 14-99,00:00.00,19/01/2024 11:20:00,75,74,/LeagueTable/AthleticsDisciplineResults/44095?isModal=True,1,1,74,2024-01-19 00:00:00,2024,11:20:00,Passed
220,220,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9961,4,100m Backstroke,Men 15-99,00:00.00,19/01/2024 11:36:00,106,102,/LeagueTable/AthleticsDisciplineResults/44090?isModal=True,1,1,102,2024-01-19 00:00:00,2024,11:36:00,Passed
221,221,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9961,5,200m Breaststroke,Women 14-99,00:00.00,19/01/2024 11:52:30,32,32,/LeagueTable/AthleticsDisciplineResults/44098?isModal=True,1,1,32,2024-01-19 00:00:00,2024,11:52:30,Passed
222,222,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9961,6,200m Breaststroke,Men 15-99,00:00.00,19/01/2024 12:08:30,38,38,/LeagueTable/AthleticsDisciplineResults/44093?isModal=True,1,1,38,2024-01-19 00:00:00,2024,12:08:30,Passed
223,223,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9961,7,100m Freestyle,Women 14-99,00:00.00,19/01/2024 12:22:30,149,140,/LeagueTable/AthleticsDisciplineResults/44097?isModal=True,1,1,140,2024-01-19 00:00:00,2024,12:22:30,Passed
224,224,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9961,8,100m Freestyle,Men 15-99,00:00.00,19/01/2024 12:45:00,206,204,/LeagueTable/AthleticsDisciplineResults/44092?isModal=True,1,1,204,2024-01-19 00:00:00,2024,12:45:00,Passed
225,225,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9961,9,200m Butterfly,Women 14-99,00:00.00,19/01/2024 13:16:30,22,22,/LeagueTable/AthleticsDisciplineResults/44096?isModal=True,1,1,22,2024-01-19 00:00:00,2024,13:16:30,Passed
226,226,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9961,10,200m Butterfly,Men 15-99,00:00.00,19/01/2024 13:27:00,49,49,/LeagueTable/AthleticsDisciplineResults/44091?isModal=True,1,1,49,2024-01-19 00:00:00,2024,13:27:00,Passed
227,227,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9963,1,200m Individual Medley,Women 14-99,00:00.00,20/01/2024 09:30:00,67,63,/LeagueTable/AthleticsDisciplineResults/44126?isModal=True,1,1,63,2024-01-20 00:00:00,2024,09:30:00,Passed
228,228,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9963,2,200m Individual Medley,Men 15-99,00:00.00,20/01/2024 09:58:00,100,90,/LeagueTable/AthleticsDisciplineResults/44121?isModal=True,1,1,90,2024-01-20 00:00:00,2024,09:58:00,Passed
229,229,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9963,3,100m Backstroke,Women 14-99,00:00.00,20/01/2024 10:38:00,91,86,/LeagueTable/AthleticsDisciplineResults/44122?isModal=True,1,1,86,2024-01-20 00:00:00,2024,10:38:00,Passed
230,230,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9963,4,100m Backstroke,Men 15-99,00:00.00,20/01/2024 10:56:00,89,84,/LeagueTable/AthleticsDisciplineResults/44117?isModal=True,1,1,84,2024-01-20 00:00:00,2024,10:56:00,Passed
231,231,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9963,5,200m Breaststroke,Women 14-99,00:00.00,20/01/2024 11:14:00,41,40,/LeagueTable/AthleticsDisciplineResults/44125?isModal=True,1,1,40,2024-01-20 00:00:00,2024,11:14:00,Passed
232,232,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9963,6,200m Breaststroke,Men 15-99,00:00.00,20/01/2024 11:34:00,56,50,/LeagueTable/AthleticsDisciplineResults/44120?isModal=True,1,1,50,2024-01-20 00:00:00,2024,11:34:00,Passed
233,233,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9963,7,100m Freestyle,Women 14-99,00:00.00,20/01/2024 11:58:00,151,144,/LeagueTable/AthleticsDisciplineResults/44124?isModal=True,1,1,144,2024-01-20 00:00:00,2024,11:58:00,Passed
234,234,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9963,8,100m Freestyle,Men 15-99,00:00.00,20/01/2024 12:28:00,181,169,/LeagueTable/AthleticsDisciplineResults/44119?isModal=True,1,1,169,2024-01-20 00:00:00,2024,12:28:00,Passed
235,235,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9963,9,200m Butterfly,Women 14-99,00:00.00,20/01/2024 13:00:00,29,27,/LeagueTable/AthleticsDisciplineResults/44123?isModal=True,1,1,27,2024-01-20 00:00:00,2024,13:00:00,Passed
236,236,ליגה לנוער ובוגרים 2,comp.asp?compID=465,39,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9963,10,200m Butterfly,Men 15-99,00:00.00,20/01/2024 13:12:00,45,38,/LeagueTable/AthleticsDisciplineResults/44118?isModal=True,1,1,38,2024-01-20 00:00:00,2024,13:12:00,Passed
237,237,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,1,50m Freestyle,Girls 10-14,00:00.00,19/01/2024 14:30:00,47,47,/LeagueTable/AthleticsDisciplineResults/43946?isModal=True,1,1,47,2024-01-19 00:00:00,2024,14:30:00,Passed
238,238,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,2,50m Freestyle,Boys 10-14,00:00.00,19/01/2024 14:42:00,64,64,/LeagueTable/AthleticsDisciplineResults/43952?isModal=True,1,1,64,2024-01-19 00:00:00,2024,14:42:00,Passed
239,239,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,3,400m Freestyle,Girls 10-14,00:00.00,19/01/2024 14:58:00,11,11,/LeagueTable/AthleticsDisciplineResults/43945?isModal=True,1,1,11,2024-01-19 00:00:00,2024,14:58:00,Passed
240,240,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,4,400m Freestyle,Boys 10-14,00:00.00,19/01/2024 15:12:00,21,21,/LeagueTable/AthleticsDisciplineResults/43951?isModal=True,1,1,21,2024-01-19 00:00:00,2024,15:12:00,Passed
241,241,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,5,100m Freestyle,Girls 10-14,00:00.00,19/01/2024 15:33:00,36,36,/LeagueTable/AthleticsDisciplineResults/43942?isModal=True,1,1,36,2024-01-19 00:00:00,2024,15:33:00,Passed
242,242,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,6,100m Freestyle,Boys 10-14,00:00.00,19/01/2024 15:48:00,61,61,/LeagueTable/AthleticsDisciplineResults/43948?isModal=True,1,1,61,2024-01-19 00:00:00,2024,15:48:00,Passed
243,243,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,7,200m Breaststroke,Girls 10-14,00:00.00,19/01/2024 16:12:00,10,10,/LeagueTable/AthleticsDisciplineResults/43943?isModal=True,1,1,10,2024-01-19 00:00:00,2024,16:12:00,Passed
244,244,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,8,200m Breaststroke,Boys 10-14,00:00.00,19/01/2024 16:22:00,15,15,/LeagueTable/AthleticsDisciplineResults/43949?isModal=True,1,1,15,2024-01-19 00:00:00,2024,16:22:00,Passed
245,245,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,9,200m Butterfly,Girls 10-14,00:00.00,19/01/2024 16:32:00,3,3,/LeagueTable/AthleticsDisciplineResults/43944?isModal=True,1,1,3,2024-01-19 00:00:00,2024,16:32:00,Passed
246,246,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,10,200m Butterfly,Boys 10-14,00:00.00,19/01/2024 16:36:30,5,5,/LeagueTable/AthleticsDisciplineResults/43950?isModal=True,1,1,5,2024-01-19 00:00:00,2024,16:36:30,Passed
247,247,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,11,100m Backstroke,Girls 10-14,00:00.00,19/01/2024 16:41:00,36,36,/LeagueTable/AthleticsDisciplineResults/43941?isModal=True,1,1,36,2024-01-19 00:00:00,2024,16:41:00,Passed
248,248,ליגה צעירים 3 חיפה,comp.asp?compID=1494,40,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9949,12,100m Backstroke,Boys 10-14,00:00.00,19/01/2024 16:51:00,47,47,/LeagueTable/AthleticsDisciplineResults/43947?isModal=True,1,1,47,2024-01-19 00:00:00,2024,16:51:00,Passed
249,249,ליגה צפון ועמקים 2,comp.asp?compID=1495,41,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,1,50m Freestyle,Women 9-99,00:00.00,26/01/2024 09:00:00,50,50,/LeagueTable/AthleticsDisciplineResults/43868?isModal=True,1,1,50,2024-01-26 00:00:00,2024,09:00:00,Passed
250,250,ליגה צפון ועמקים 2,comp.asp?compID=1495,41,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,2,50m Freestyle,Men 9-99,00:00.00,26/01/2024 09:14:00,80,80,/LeagueTable/AthleticsDisciplineResults/43864?isModal=True,1,1,80,2024-01-26 00:00:00,2024,09:14:00,Passed
251,251,ליגה צפון ועמקים 2,comp.asp?compID=1495,41,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,3,100m Backstroke,Women 9-99,00:00.00,26/01/2024 09:34:00,25,25,/LeagueTable/AthleticsDisciplineResults/43865?isModal=True,1,1,25,2024-01-26 00:00:00,2024,09:34:00,Passed
252,252,ליגה צפון ועמקים 2,comp.asp?compID=1495,41,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,4,100m Backstroke,Men 9-99,00:00.00,26/01/2024 09:46:00,36,36,/LeagueTable/AthleticsDisciplineResults/43861?isModal=True,1,1,36,2024-01-26 00:00:00,2024,09:46:00,Passed
253,253,ליגה צפון ועמקים 2,comp.asp?compID=1495,41,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,5,100m Breaststroke,Women 9-99,00:00.00,26/01/2024 10:01:00,30,30,/LeagueTable/AthleticsDisciplineResults/43866?isModal=True,1,1,30,2024-01-26 00:00:00,2024,10:01:00,Passed
254,254,ליגה צפון ועמקים 2,comp.asp?compID=1495,41,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,6,100m Breaststroke,Men 9-99,00:00.00,26/01/2024 10:13:00,34,34,/LeagueTable/AthleticsDisciplineResults/43862?isModal=True,1,1,34,2024-01-26 00:00:00,2024,10:13:00,Passed
255,255,ליגה צפון ועמקים 2,comp.asp?compID=1495,41,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,7,100m Individual Medley,Women 9-99,00:00.00,26/01/2024 10:28:00,31,31,/LeagueTable/AthleticsDisciplineResults/43867?isModal=True,1,1,31,2024-01-26 00:00:00,2024,10:28:00,Passed
256,256,ליגה צפון ועמקים 2,comp.asp?compID=1495,41,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,8,100m Individual Medley,Men 9-99,00:00.00,26/01/2024 10:40:00,45,45,/LeagueTable/AthleticsDisciplineResults/43863?isModal=True,1,1,45,2024-01-26 00:00:00,2024,10:40:00,Passed
257,257,ליגה צפון והעמקים 2,comp.asp?compID=1489,42,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,1,50m Freestyle,Women 9-99,00:00.00,26/01/2024 09:00:00,50,50,/LeagueTable/AthleticsDisciplineResults/43868?isModal=True,1,1,50,2024-01-26 00:00:00,2024,09:00:00,Passed
258,258,ליגה צפון והעמקים 2,comp.asp?compID=1489,42,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,2,50m Freestyle,Men 9-99,00:00.00,26/01/2024 09:14:00,80,80,/LeagueTable/AthleticsDisciplineResults/43864?isModal=True,1,1,80,2024-01-26 00:00:00,2024,09:14:00,Passed
259,259,ליגה צפון והעמקים 2,comp.asp?compID=1489,42,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,3,100m Backstroke,Women 9-99,00:00.00,26/01/2024 09:34:00,25,25,/LeagueTable/AthleticsDisciplineResults/43865?isModal=True,1,1,25,2024-01-26 00:00:00,2024,09:34:00,Passed
260,260,ליגה צפון והעמקים 2,comp.asp?compID=1489,42,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,4,100m Backstroke,Men 9-99,00:00.00,26/01/2024 09:46:00,36,36,/LeagueTable/AthleticsDisciplineResults/43861?isModal=True,1,1,36,2024-01-26 00:00:00,2024,09:46:00,Passed
261,261,ליגה צפון והעמקים 2,comp.asp?compID=1489,42,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,5,100m Breaststroke,Women 9-99,00:00.00,26/01/2024 10:01:00,30,30,/LeagueTable/AthleticsDisciplineResults/43866?isModal=True,1,1,30,2024-01-26 00:00:00,2024,10:01:00,Passed
262,262,ליגה צפון והעמקים 2,comp.asp?compID=1489,42,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9933,6,100m Breaststroke,Men 9-99,00:00.00,26/01/2024 10:13:00,34,34,/LeagueTable/AthleticsDisciplineResults/43862?isModal=True,1,1,34,2024-01-26 00:00:00,2024,10:13:00,Passed
